Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.7381,-74.0084,Sunday,0,0,NormalDay,September,Night
B02512,40.7381,-74.0083,Sunday,0,0,NormalDay,September,Night
B02512,40.7384,-74.0096,Sunday,0,0,NormalDay,September,Night
B02512,40.7384,-73.9857,Sunday,0,0,NormalDay,September,Night
B02512,40.7385,-73.9997,Sunday,0,0,NormalDay,September,Night
B02512,40.7387,-74.0306,Sunday,0,0,NormalDay,September,Night
B02512,40.7392,-73.991,Sunday,0,0,NormalDay,September,Night
B02512,40.7394,-74.0018,Sunday,0,0,NormalDay,September,Night
B02512,40.7394,-74.0016,Sunday,0,0,NormalDay,September,Night
B02512,40.7395,-74.0081,Sunday,0,0,NormalDay,September,Night
B02512,40.7398,-73.9929,Sunday,0,0,NormalDay,September,Night
B02512,40.74,-74.0055,Sunday,0,0,NormalDay,September,Night
B02512,40.7403,-74.0058,Sunday,0,0,NormalDay,September,Night
B02512,40.7403,-73.9919,Sunday,0,0,NormalDay,September,Night
B02512,40.7403,-73.9901,Sunday,0,0,NormalDay,September,Night
B02512,40.7407,-74.0056,Sunday,0,0,NormalDay,September,Night
B02512,40.7408,-74.007,Sunday,0,0,NormalDay,September,Night
B02512,40.7412,-74.0014,Sunday,0,0,NormalDay,September,Night
B02512,40.7412,-73.9931,Sunday,0,0,NormalDay,September,Night
B02512,40.7414,-74.0014,Sunday,0,0,NormalDay,September,Night
B02512,40.7415,-74.0081,Sunday,0,0,NormalDay,September,Night
B02512,40.7415,-73.9934,Sunday,0,0,NormalDay,September,Night
B02512,40.7416,-73.9935,Sunday,0,0,NormalDay,September,Night
B02512,40.7417,-73.9936,Sunday,0,0,NormalDay,September,Night
B02512,40.7421,-73.9907,Sunday,0,0,NormalDay,September,Night
B02512,40.7422,-74.0295,Sunday,0,0,NormalDay,September,Night
B02512,40.7422,-74.0043,Sunday,0,0,NormalDay,September,Night
B02512,40.7422,-74.0042,Sunday,0,0,NormalDay,September,Night
B02512,40.7423,-74.0043,Sunday,0,0,NormalDay,September,Night
B02512,40.7424,-73.9858,Sunday,0,0,NormalDay,September,Night
B02512,40.7426,-74.0016,Sunday,0,0,NormalDay,September,Night
B02512,40.7426,-73.992,Sunday,0,0,NormalDay,September,Night
B02512,40.7427,-73.9902,Sunday,0,0,NormalDay,September,Night
B02512,40.743,-73.991,Sunday,0,0,NormalDay,September,Night
B02512,40.7439,-73.984,Sunday,0,0,NormalDay,September,Night
B02512,40.7444,-73.9983,Sunday,0,0,NormalDay,September,Night
B02512,40.7447,-73.9912,Sunday,0,0,NormalDay,September,Night
B02512,40.7449,-74.0344,Sunday,0,0,NormalDay,September,Night
B02512,40.745,-74.0017,Sunday,0,0,NormalDay,September,Night
B02512,40.7451,-73.9888,Sunday,0,0,NormalDay,September,Night
B02512,40.7471,-73.9867,Sunday,0,0,NormalDay,September,Night
